filename,complexity,entropy
Image_125_-77.2013101033249_20.3166526549507.jpg,0.1422208787,0.8499683806
Image_128_-78.3221073631904_20.894346096032.jpg,0.0746496948,0.9370395115
Image_129_-80.6284719599926_23.106145096498.jpg,0.0920302848,0.9069369431
Image_135_-82.8344063745403_23.0377943030804.jpg,0.0331923317,0.9744316242
Image_136_-74.2268313103226_20.1882633013315.jpg,0.0563350408,0.9530785565
Image_180_-73.1712815968442_64.1226472633266.jpg,0.0876818688,0.9120839611
Image_182_-80.9538969858212_69.7681271970741.jpg,0.1458552087,0.8312674969
Image_184_-65.3102939716785_65.5248018189095.jpg,0.2007953040,0.3320856315
Image_189_-81.5179276054122_73.2699793089537.jpg,0.0864686864,0.9138413770
Image_191_-83.2607939837596_73.5977979832518.jpg,0.0864686864,0.9138413770
Image_208_-75.1497080112243_64.3708174969261.jpg,0.1744811728,0.7548777449
Image_226_-74.1478298836499_64.4503481078476.jpg,0.1076565386,0.8755964974
Image_290_-154.663407861349_57.4382114936947.jpg,0.0418898400,0.9667361036
Image_294_-133.08598646904_53.4860018324209.jpg,0.0328130939,0.9707105551
Image_319_44.4460369522968_-16.2184921647281.jpg,0.1388973459,0.8751403594
Image_320_47.9933329412082_-14.0539550498377.jpg,0.0330055868,0.9737781036
Image_322_45.7449605322248_-25.4389007352434.jpg,0.0952161561,0.9197666533
Image_323_45.7088810205922_-15.8736438328917.jpg,0.1048215549,0.8965954715
Image_324_48.3119093942161_-21.2225778216155.jpg,0.1498156087,0.8085741680
Image_326_47.9851510929023_-22.2246639446657.jpg,0.0101790856,0.9922273957
Image_327_47.6641292292794_-23.3593832250533.jpg,0.0130697046,0.9900968323
Image_330_48.6934942920362_-13.2802415085561.jpg,0.0850108910,0.9203898412
Image_331_43.4585825024183_-23.032575088425.jpg,0.0406781319,0.9656968887
