filename,complexity,entropy
Screenshot from 2022-10-27 14-50-31.png,0.2337212956,0.4062469503
Screenshot from 2022-10-28 20-12-40.png,0.2649554533,0.6220990974
Screenshot from 2022-10-28 20-28-15.png,0.2289506497,0.3747578782
Screenshot from 2022-10-28 20-50-47.png,0.2481973469,0.4398716539
Screenshot from 2022-10-29 10-11-47.png,0.2562769803,0.5684730488
Screenshot from 2022-10-29 10-13-06.png,0.2455438430,0.6273235171
Screenshot from 2022-10-29 10-16-36.png,0.2410269437,0.4293241956
Screenshot from 2022-10-29 22-45-15.png,0.2488207912,0.6814523873
